pageName,postText,postDate,postLink
khobsanung,น้องนี้ก็น่ารัก,2024-11-21T14:56:02.000Z,https://www.facebook.com/100064520479802/posts/978153524345321
khobsanung,"หนังพี่จาแบบเดือดๆ กับโปสเตอร์ใหม่ StrikingRescue คนเดือดซัดนรก

ตัวหนังฉาย 5 ธันวาคมนี้",2024-11-21T11:55:55.000Z,https://www.facebook.com/100064520479802/posts/978040161023324
khobsanung,Saudi Pro League: Kickoff สารคดีอีกหนึ่งลีกสำคัญของโลก 6 EP. พร้อมพากย์ไทยดูได้แล้วทาง NETFLIX,2024-11-21T11:19:20.000Z,https://www.facebook.com/100064520479802/posts/978018851025455
DramaAdd,ค กูเพิ่งกดเต็มราคา,2024-11-21T14:39:29.000Z,https://www.facebook.com/100044828388736/posts/1097440278426908
DramaAdd,"นี่คือเครื่องมือที่ตำรวจ ยึดได้ในรถมิจฯ ที่ตระเวนส่ง ข้อความให้เหยื่อลงเชื่อ ว่า ""คะแนน 9,268 ของคุณ ใกล้หมดอายุแล้ว! รีบ แลกของขวัญเลย"" พร้อมกับแนบลิงก์ปลอมมาในข้อความดังกล่าว",2024-11-21T14:31:34.000Z,https://www.facebook.com/100044828388736/posts/1097435671760702
DramaAdd,"มิจฉาชีพครับอย่าหลงเชื่อ
https://www.facebook.com/share/RmYQJ3j76q4cggRF/?mibextid=LQQJ4d",2024-11-21T14:28:45.000Z,https://www.facebook.com/100044828388736/posts/1097433928427543
ejan2016,". Live #นอนไม่หลับคุยกับอีจัน กับ อ.เล็ก นักพูดเยียวยา หัวข้อ “โลกวิญญาณ ตอนที่ 13: การตายแล้วฟื้นของหลวงพ่อวัดท่าซุง""  21/11/67

#นอนไม่หลับคุยกับอีจัน
#นอนไมีหลับคุยกับครูเล็ก 
#นอนไม่หลับ",2024-11-21T14:59:22.000Z,https://www.facebook.com/100081883222566/posts/1783529985729670
ejan2016,"มาดูกัน ด่านนี้ จะผ่านไปยังไง ในงานแต่งของแม่? 

**********************************

#ใหม่ ขนมปังอิงลิชเบรด อร่อยได้สไตล์อังกฤษ กับ ""ขนมปังฟาร์มเฮ้าส์อิงลิชเบรด""
ขนมปังเนียนนุ่ม ทานคู่กับผลไม้ อร่อยลงตัวพร้อมรับวันใหม่สุด ๆ เลยค่าาา
.
#ใหม่ ขนมปังอิงลิชเบรด 
.
🏠 สามารถหาซื้อได้ที่  7-Eleven,Lotus’s, Big C, Makro, Tops, Jiffy, CJ Express, 
Lawson, Top daiy, ซุปเปอร์ชีป, Maxmart, เดอะมอลล์, อิออน, Foodland, Shell Select แ ละร้านค้าปลีกทั่วไป
#ขนมปังอิงลิชเบรด #ขนมปังฟาร์มเฮ้าส์",2024-11-21T14:45:45.000Z,https://www.facebook.com/100081883222566/posts/566165589456210
ejan2016,"#กุศลครั้งใหญ่ครั้งสุดท้าย
โนอาห์ เทวดาน้อย 1 ขวบ
ส่งต่ออวัยวะ ต่อลมหายใจผู้ป่วย

เพจเฟซุบ๊ก “สภากาชาดไทย Thai Red Cross Society” โพสต์ น้องโนอาห์ เด็กชายชายณฐพัชร์ เข็มเพ็ชร์ อายุ 1 ขวบ 11 เดือน เสียชีวิต โดยแพทย์ได้วินิจฉัยว่า น้องโนอาห์ มีภาวะ #สมองตาย ทางครอบครัวจึงได้ตัดสินใจ #บริจาคไต เพื่ออชีวิต ต่อลมหายใจให้กับผู้ป่วยรายอื่นๆ 

น้องโนอาห์ เทวดาตัวน้อย ขอกุศลแห่งผลบุญในครั้งนี้ ให้หนูไปสู่ภพภูมิที่ดีนะ
และ ขอแสดงความเสียใจกับครอบครัวน้องโนอาห์ด้วยค่ะ",2024-11-21T14:15:56.000Z,https://www.facebook.com/100081883222566/posts/566147422791360
newsth.18,"เป็นแฟนกันแล้ว?
‘เก๋ไก๋’ นางเอกสาวกับหนุ่มสายฝอ ทะเลหวานมากแม่
.
อ่านต่อใต้คอมเมนต์👇",2024-11-21T12:24:55.000Z,https://www.facebook.com/100063738901281/posts/1144166044384682
